sample,true_study,predicted_study,correct,true_in_top5
PRJEB37553_ERR4077822,PRJEB37553,PRJEB37553,True,True
PRJNA396815_SRR6867366,PRJNA396815,PRJNA396815,True,True
PRJEB15481_ERR1763173,PRJEB15481,PRJEB15481,True,True
PRJNA475599_SRR9060984,PRJNA475599,PRJNA475599,True,True
PRJNA417357_SRR6265006,PRJNA417357,PRJNA417357,True,True
PRJNA605031_SRR11029882,PRJNA605031,PRJNA605031,True,True
PRJNA544721_SRR9160330,PRJNA544721,PRJEB17610,False,False
PRJNA480711_SRR7552960,PRJNA480711,PRJNA480711,True,True
PRJDB9469_DRR243123,PRJDB9469,PRJDB9469,True,True
PRJEB27068_ERR3019601,PRJEB27068,PRJEB27068,True,True
PRJEB30292_ERR3697430,PRJEB30292,PRJNA547591,False,True
PRJEB8463_ERR757072,PRJEB8463,PRJEB8463,True,True
PRJNA428736_SRR6444471,PRJNA428736,PRJNA428736,True,True
PRJNA414540_SRR6182535,PRJNA414540,PRJNA414540,True,True
PRJNA631001_SRR11733755,PRJNA631001,PRJNA631001,True,True
PRJEB38948_ERR4348580,PRJEB38948,PRJNA605031,False,False
PRJNA545312_SRR10668374,PRJNA545312,PRJNA545312,True,True
PRJEB30292_ERR3697384,PRJEB30292,PRJEB30292,True,True
PRJEB17613_ERR1716636,PRJEB17613,PRJEB17613,True,True
PRJNA685746_SRR14484664,PRJNA685746,PRJNA685746,True,True
PRJNA481243_SRR7546750,PRJNA481243,PRJNA481243,True,True
PRJNA616703_SRR11456496,PRJNA616703,PRJNA616703,True,True
PRJDB10528_DRR248117,PRJDB10528,PRJNA657821,False,False
PRJNA589488_SRR10484212,PRJNA589488,PRJNA729511,False,True
PRJNA701870_SRR13777201,PRJNA701870,PRJDB9936,False,True
PRJNA510423_SRR8348664,PRJNA510423,PRJNA510423,True,True
PRJNA398187_SRR6153834,PRJNA398187,PRJNA398187,True,True
PRJNA497734_SRR8119272,PRJNA497734,PRJNA497734,True,True
PRJNA544527_SRR9219214,PRJNA544527,PRJNA544527,True,True
PRJNA559143_SRR9917550,PRJNA559143,PRJNA559143,True,True
PRJNA545312_SRR11415218,PRJNA545312,PRJNA545312,True,True
PRJEB6705_ERR561162,PRJEB6705,PRJEB6705,True,True
PRJNA554232_SRR9683056,PRJNA554232,PRJNA554232,True,True
PRJNA593062_SRR11926211,PRJNA593062,PRJNA593062,True,True
PRJNA396815_SRR6867757,PRJNA396815,PRJNA396815,True,True
PRJEB35994_ERR3788548,PRJEB35994,PRJEB35994,True,True
PRJEB29433_ERR3387883,PRJEB29433,PRJEB29433,True,True
PRJNA685746_SRR14484779,PRJNA685746,PRJNA685746,True,True
PRJNA559143_SRR9918186,PRJNA559143,PRJEB11419,False,True
PRJDB5678_DRR095205,PRJDB5678,PRJDB5678,True,True
PRJNA290926_SRR2144127,PRJNA290926,PRJNA290926,True,True
PRJEB38948_ERR4580191,PRJEB38948,PRJEB38948,True,True
PRJNA606262_SRR11140502,PRJNA606262,PRJNA545312,False,False
PRJNA685746_SRR14446031,PRJNA685746,PRJNA685746,True,True
PRJNA491825_SRR7875772,PRJNA491825,PRJNA491825,True,True
PRJNA715036_SRR13984116,PRJNA715036,PRJNA715036,True,True
PRJNA693579_SRR13493386,PRJNA693579,PRJNA693579,True,True
PRJEB38948_ERR4346596,PRJEB38948,PRJEB38948,True,True
PRJEB32077_ERR3266129,PRJEB32077,PRJNA480711,False,True
PRJNA685746_SRR14446003,PRJNA685746,PRJNA685746,True,True
PRJEB8463_ERR756727,PRJEB8463,PRJEB8463,True,True
PRJNA673102_SRR12932376,PRJNA673102,PRJNA673102,True,True
PRJNA554232_SRR9683332,PRJNA554232,PRJDB9469,False,True
PRJNA727279_SRR14455988,PRJNA727279,PRJNA727279,True,True
PRJNA497734_SRR8119355,PRJNA497734,PRJNA657821,False,True
PRJNA685746_SRR14445798,PRJNA685746,PRJNA685746,True,True
PRJEB6358_ERR579365,PRJEB6358,PRJEB27068,False,True
PRJNA605031_SRR11030314,PRJNA605031,PRJNA605031,True,True
PRJNA603983_SRR10991099,PRJNA603983,PRJNA603983,True,True
PRJNA390646_SRR5699379,PRJNA390646,PRJNA390646,True,True
PRJNA414072_SRR6167656,PRJNA414072,PRJNA414072,True,True
PRJEB16344_ERR1700594,PRJEB16344,PRJNA545312,False,True
PRJEB11419_ERR5332152,PRJEB11419,PRJEB11419,True,True
PRJNA606262_SRR11139877,PRJNA606262,PRJNA545312,False,True
PRJNA548153_SRR9270086,PRJNA548153,PRJNA396815,False,True
