disease_category,taxon,genus,meta_effect,meta_p,meta_q,k_projects,I2,pooled_effect,pooled_p,pooled_q,concordance_class,sign_agree,pooled_method
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Anaerobutyricum,Anaerobutyricum,-0.31062084084331154,0.398809464466338,0.754952258449126,3.0,67.70488872620544,-0.08569865789443697,0.7525587932401073,0.8730493949432976,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes,Anaerostipes,-0.2604104057028509,0.6766702765830037,0.8600057325197685,3.0,90.65846181654042,0.2912408725831109,0.2950117390507964,0.4848453798313089,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Blautia,Blautia,0.020945457538175286,0.9202485144626623,0.9728153676759603,3.0,45.054463301401015,0.13288451351574682,0.6672587591366907,0.8234925790619434,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Butyribacter,Butyribacter,-0.30235308808358397,0.18966973850078295,0.5525906475180666,3.0,0.0,-0.33816683984558293,0.16372251925411477,0.3400390784508538,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.CAG-56,CAG-56,-0.5327114181507161,0.19044084462487043,0.5525906475180666,3.0,62.03496926855837,-0.1741684178148053,0.47676683413203724,0.6482656953306117,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus,Coprococcus,-0.5857218090473472,0.0030948272953626446,0.060864936808798675,3.0,0.0,-0.5936383666049818,0.04385485025880745,0.13103154228986105,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Dorea,Dorea,0.15566599115745616,0.3468299203935664,0.7316346344121112,3.0,0.0,-0.024303416398105595,0.931039627192296,0.9491523345285591,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Eisenbergiella,Eisenbergiella,0.28855373095859255,0.4374567168463178,0.7982457616680233,2.0,56.750945373982105,0.3410685079306767,0.01909423245968874,0.07364918234451372,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Enterocloster,Enterocloster,0.33999344593041114,0.1219631058847062,0.455312334326281,3.0,7.988373007662619,0.3689433337758321,0.11716734773438318,0.25749568281160956,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Extibacter,,,,,,,0.4050656727144451,0.02507770258260473,0.08777195903911655,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Faecalimonas,Faecalimonas,0.22585002428361173,0.24266943002404862,0.6167697480388026,3.0,0.0,0.2582663688763052,0.1868103320882085,0.37964680392119793,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Fusicatenibacter,Fusicatenibacter,-0.6256824038652092,0.05888279380051036,0.27426985533395615,3.0,43.630886228711695,-0.35237430393792446,0.23720109868337086,0.42293403444487826,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.GCA-900066575,GCA-900066575,-0.42349305213812255,0.01283934576988402,0.12288450615927964,3.0,0.0,-0.4624207366506593,0.009162766154950458,0.04557270534962202,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Howardella,Howardella,-0.21602421487731305,0.5305726625020284,0.8126027730152566,3.0,70.75390974271707,-0.49925460449598297,0.010026160851210452,0.04737361002196939,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Hungatella,Hungatella,0.18228554001002562,0.3249621011704301,0.7189786488395766,2.0,0.0,,,,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Incertae Sedis,Incertae Sedis,-0.5919057851653702,0.02400099252790385,0.184703290323434,2.0,0.0,-0.13259532429239598,0.4427261379951657,0.6107681757743526,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoclostridium,Lachnoclostridium,0.04833421455690832,0.817890691622724,0.9461872707007983,3.0,0.0,0.05723992645072192,0.8199293638697631,0.8850986680279804,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospira,Lachnospira,-0.1805394401628638,0.5044046433336172,0.8126027730152566,3.0,0.0,-0.1651291854946318,0.5968619612894177,0.7622088559709457,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae AC2044 group,Lachnospiraceae AC2044 group,-0.3921259205717647,0.10121738364356107,0.40716992965705245,2.0,0.0,-0.030047023250779452,0.8326793052091277,0.8850986680279804,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae FCS020 group,Lachnospiraceae FCS020 group,-0.18764546056591988,0.3055960445553183,0.6934679472601454,3.0,0.0,-0.2189625097880763,0.2790074830800551,0.47082512769759294,ns,True,combat_ols
