project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJEB37289,group,NEEDS_REVIEW,,,,3,"{""icu"": 35, ""no_abx"": 20, ""abx"": 7}",
PRJEB38835,intervention_group,NEEDS_REVIEW,,,,4,"{""endurance"": 78, ""strength"": 67, ""control"": 66, ""elite"": 13}",
PRJEB38948,sample group,NEEDS_REVIEW,,,,7,"{""infant stool"": 2333, ""maternal stool"": 556, ""maternal stool control"": 36, ""mock community"": 36, ""mock community (qiagen extracted)"": 36}",
PRJEB39382,experimental group,CONFIRMED,74.0,180.0,254.0,2,"{""sick"": 180, ""healthy"": 74}",
PRJEB39880,condition,NEEDS_REVIEW,,,,5,"{""eoe baseline"": 34, ""control"": 10, ""eoe post-stc"": 9, ""eoe post-ppi"": 9, ""eoe post-fed"": 9}",
PRJEB42155,diagnosis,CONFIRMED,19.0,193.0,213.0,5,"{""cd"": 118, ""uc"": 74, ""healthy_control"": 19, ""ind"": 1, ""cd (from uc 7/17/2018)"": 1}",
PRJEB42155,historical_disease_extent,NEEDS_REVIEW,,,,5,"{""pancolites"": 32, ""left side colites"": 30, ""proctitis"": 11, ""rectosigmoiditis"": 1, ""proctosigmoiditis"": 1}",
PRJEB42687,asd,NEEDS_REVIEW,,,,1,"{""yes"": 36}",
PRJEB42687,asd_numeric,CONFIRMED,42.0,36.0,78.0,2,"{""0"": 42, ""1"": 36}",
PRJEB42687,asd_sibling,NEEDS_REVIEW,,,,1,"{""yes"": 13}",
PRJEB4335,cohort,NEEDS_REVIEW,,,,5,"{""a2"": 22, ""b"": 13, ""b2"": 7, ""b1"": 6, ""a1"": 4}",
PRJEB4335,hiv,CONFIRMED,22.0,30.0,52.0,2,"{""positive"": 30, ""negative"": 22}",
PRJEB4335,status,NEEDS_REVIEW,,,,3,"{""chronic"": 26, ""negative"": 22, ""acute"": 4}",
PRJEB44113,intervention_group,NEEDS_REVIEW,,,,2,"{""imf"": 67, ""dcr"": 49}",
PRJEB46174,vreswabpositive,COLONISATION,172.0,77.0,,2,"{""0"": 172, ""1"": 77}",carriage of an organism not illness -- pending decision LABEL_AUDIT.md 5.2
PRJEB5729,control,NEEDS_REVIEW,,,,1,"{""yes"": 1}",
PRJEB5729,hormonalbirthcontrol,NEEDS_REVIEW,,,,5,"{""pill"": 230, ""nuvaring"": 26, ""dmpa"": 10, ""yes.i.have.an.iud"": 9, ""iud"": 9}",
PRJEB5729,ibd,CONFIRMED,803.0,44.0,847.0,3,"{""colitis"": 22, ""yes.ibs"": 12, ""crohns"": 10}",
PRJEB5729,skinconditions,NEEDS_REVIEW,,,,5,"{""eczema"": 71, ""eczema.psoriasis"": 16, ""psoriasis"": 14, ""other.subacute.cutaneous.lupus.erythematosus.this.is.non.scarring.nonatrophy.producing.photosensitive.dermatosis"": 10, ""rosacea"": 9}",
PRJNA227062,host_disease,CONFIRMED,42.0,52.0,94.0,2,"{""pos"": 52, ""neg"": 42}",
PRJNA246121,disease,CONFIRMED,31.0,53.0,84.0,2,"{""nafld"": 53, ""healthy"": 31}",
PRJNA280026,description,CONFIRMED,61.0,207.0,269.0,6,"{""normal"": 61, ""adenoma"": 57, ""carcinoma"": 52, ""carcinoma_adjacent"": 51, ""adenoma_adjacent"": 47}",
PRJNA290926,diagnosis,CONFIRMED,122.0,318.0,490.0,5,"{""normal"": 122, ""cancer"": 120, ""adv adenoma"": 109, ""adenoma"": 89, ""high risk normal"": 50}",
PRJNA307231,HBV_coinfection,NEEDS_REVIEW,,,,2,"{""negative"": 187, ""positive"": 31}",
PRJNA307231,HCV_coinfection,NEEDS_REVIEW,,,,2,"{""negative"": 201, ""positive"": 39}",
PRJNA307231,HIV_RiskGroup,NEEDS_REVIEW,,,,3,"{""msm"": 187, ""hts"": 127, ""pwid"": 30}",
PRJNA307231,HIV_serostatus,CONFIRMED,57.0,287.0,344.0,2,"{""positive"": 287, ""negative"": 57}",
PRJNA307231,PCR_Chlamydia_trachomatis,NEEDS_REVIEW,,,,2,"{""negative"": 195, ""positive"": 16}",
PRJNA307231,Syphilis_serology,NEEDS_REVIEW,,,,2,"{""negative"": 193, ""positive"": 34}",
PRJNA307992,CDI_clinical_result_for_sample,NEEDS_REVIEW,,,,2,"{""positive"": 177, ""negative"": 27}",
PRJNA307992,CDI_cultivation_results,NEEDS_REVIEW,,,,4,"{""positive"": 161, ""negative"": 58, ""positive_maybe"": 3, ""no_sample"": 1}",
PRJNA307992,host_disease,NEEDS_REVIEW,,,,3,"{""recurrent cdi"": 94, ""nonrecurrent cdi"": 85, ""reinfection cdi"": 51}",
PRJNA307992,patient_group,CONFIRMED,85.0,51.0,230.0,3,"{""recurrent"": 94, ""nonrecurrent"": 85, ""reinfection"": 51}",
PRJNA307992,sample_status,NEEDS_REVIEW,,,,5,"{""index"": 76, ""treatment"": 48, ""reinfection"": 39, ""recurrence"": 38, ""recovery"": 29}",
PRJNA311147,case_control,CONFIRMED,46.0,46.0,92.0,2,"{""1"": 46, ""0"": 46}",
PRJNA311147,match_group_id,NEEDS_REVIEW,,,,18,"{""14"": 6, ""39"": 6, ""15"": 6, ""26"": 6, ""87"": 6}",
PRJNA313391,gastrointest_disord,NEEDS_REVIEW,,,,4,"{""gastritis"": 30, ""intestinal metaplasia"": 30, ""early gastric cancer"": 30, ""advanced gastric cancer"": 30}",
PRJNA317429,diagnosis,CONFIRMED,47.0,36.0,83.0,2,"{""not ibd"": 47, ""crohn's disease"": 36}",
PRJNA318004,diagnosis,CONFIRMED,98.0,263.0,404.0,5,"{""cancer"": 101, ""normal"": 98, ""adv adenoma"": 85, ""adenoma"": 77, ""high risk normal"": 43}",
PRJNA323360,Experimental Conditions,NEEDS_REVIEW,,,,3,"{""control"": 42, ""before"": 24, ""after"": 13}",
PRJNA324147,gastrointest_disord,CONFIRMED,54.0,36.0,90.0,3,"{""normal"": 54, ""cd"": 26, ""uc"": 10}",
PRJNA342173,Status,NEEDS_CHECK,,,,2,"{""0"": 73, ""1"": 69}",numeric group code (0/1) not recoverable from data alone -- LABEL_AUDIT.md 5.3
PRJNA349463,rural_urban_status,NEEDS_REVIEW,,,,2,"{""rural"": 40, ""urban"": 40}",
PRJNA350277,gastrointest_disord,CONFIRMED,553.0,73.0,648.0,5,"{""none"": 553, ""obesity"": 62, ""crohn (remission)"": 11, ""irritable bowel syndrome"": 11, ""mild irritable bowel syndrome"": 11}",recovered only via none-as-control null exemption
PRJNA350277,host_disease,NEEDS_REVIEW,,,,1,"{""none"": 501}",
PRJNA350277,host_phenotype,NEEDS_REVIEW,,,,0,{},
PRJNA350277,liver_disord,NEEDS_REVIEW,,,,0,{},
PRJNA354863,host_RiskGroup,NEEDS_REVIEW,,,,4,"{""het"": 39, ""msm"": 15, ""ivdu"": 5, ""bp"": 2}",
PRJNA355138,DNAextractioncontrol,NEEDS_REVIEW,,,,1,"{""yes"": 2}",
PRJNA355138,host_disease,NEEDS_REVIEW,,,,1,"{""hiv"": 42}",
PRJNA355138,patientcontrol,NEEDS_REVIEW,,,,3,"{""patient"": 36, ""control"": 6, ""donor"": 6}",
PRJNA362366,Disease_Free,NEEDS_REVIEW,,,,2,"{""y"": 61, ""n"": 1}",
PRJNA369083,Rxn Conditiond,NEEDS_REVIEW,,,,2,"{""69td"": 62, ""70"": 23}",
PRJNA382861,host_disease,CONFIRMED,26.0,31.0,263.0,3,"{""hbv"": 206, ""nafld"": 31, ""healthy"": 26}",
PRJNA386260,Ever.diagnosed.with.Clostridium.Difficle,NEEDS_REVIEW,,,,3,"{""0. no"": 201, ""1. yes"": 4, ""2. unknown"": 1}",
PRJNA388263,gastrointest_disord,NEEDS_REVIEW,,,,1,"{""none"": 419}",
PRJNA388263,host_disease,NEEDS_REVIEW,,,,1,"{""healthy"": 419}",
PRJNA398089,host_disease,CONFIRMED,45.0,131.0,176.0,3,"{""cd"": 85, ""uc"": 46, ""nonibd"": 45}",
PRJNA398187,Inflammation status,NEEDS_REVIEW,,,,9,"{""a"": 133, ""i"": 132, ""0.2"": 32, ""0.1"": 31, ""i.1"": 5}",
PRJNA401981,host_disease,CONFIRMED,40.0,40.0,80.0,2,"{""none"": 40, ""obesity"": 40}",recovered only via none-as-control null exemption
PRJNA413199,condition_at_sampling,CONFIRMED,70.0,253.0,454.0,7,"{""crohn's disease"": 144, ""ulcerative colitis"": 109, ""healthy"": 70, ""post-fmt"": 66, ""pre-fmt"": 32}",
PRJNA413199,experimental_group,NEEDS_REVIEW,,,,5,"{""ibd"": 253, ""fmtrecipient"": 98, ""healthy"": 70, ""donor"": 18, ""pouch"": 15}",
PRJNA414540,Group,NEEDS_REVIEW,,,,3,"{""a"": 140, ""b"": 135, ""b-a48"": 1}",
PRJNA428477,cre_status,COLONISATION,99.0,32.0,,2,"{""negative"": 99, ""kpc_positive"": 32}",carriage of an organism not illness -- pending decision LABEL_AUDIT.md 5.2
PRJNA428736,status,NEEDS_REVIEW,,,,2,"{""before"": 601, ""during"": 600}",
PRJNA434133,asthma_status,CONFIRMED,135.0,143.0,278.0,2,"{""asthma"": 143, ""non-asthma"": 135}",
